Clear,Clouds,Snow
5181,5545,5234
5584,4516,4695
6015,4767,5341
2784,5026,5943
2361,4918,5874
1529,5791,5879
963,4770,6060
506,3539,4771
321,4623,2067
273,3591,671
367,2898,4245
814,6292,4148
2718,6057,2222
5673,4907,1943
6511,3503,1437
5471,3037,2409
5097,2822,905
4887,1992,290
5337,1166,2571
5692,627,5541
6137,388,6529
2637,2489,6242
1777,5537,5438
1015,6628,4656
598,5534,4759
369,5403,4943
312,4770,4174
367,5217,4079
835,5870,3900
2726,5967,3420
5689,6108,2876
6990,6128,2876
5985,6069,2543
5309,6169,2543
4603,5384,2148
4884,4063,1512
5104,3364,917
5178,2971,611
5501,2450,470
5713,1832,322
368,1231,299
1352,718,574
2072,545,1017
3342,411,1348
265,688,1878
314,4258,2753
779,4861,1533
2571,5191,5449
4648,5669,247
5502,5074,781
5979,5025,2601
2378,5153,5639
2030,5024,5163
1400,4779,4621
917,4362,4807
515,3860,4983
302,3160,5327
251,2992,641
5875,3202,357
4632,1941,268
4887,1233,268
6286,323,216
4775,312,216
3340,627,339
3013,1508,339
2603,1539,794
1910,2232,794
1037,4568,2139
347,4624,3902
5809,4529,4433
6798,5139,4265
6304,6640,4265
4638,6589,4057
5557,4429,4057
5818,4329,3599
1897,3833,3599
1335,4015,3761
769,3382,3761
570,2815,3866
399,2110,3866
740,1555,3882
1420,959,3882
4438,455,4205
4623,336,4205
4440,5563,4400
4495,6676,4400
4483,5966,4685
4591,4832,4685
4477,4395,4208
4221,4411,4208
3015,4602,3516
4823,5125,2520
5238,5663,2520
5584,4259,2131
324,3069,2131
257,798,1983
354,2678,1684
769,5733,976
2769,6449,450
5789,5765,314
5057,5599,255
4979,4534,344
4851,4691,789
4291,5067,2531
4714,5030,4867
6723,5300,5263
6180,6349,5325
4324,6127,4582
2434,4460,571
1984,3418,349
468,2775,245
723,2306,357
1415,1846,833
4522,947,2620
1650,494,5771
2442,332,5586
3230,261,2597
3575,361,2186
352,5030,1945
346,5067,1945
265,5227,1476
338,5610,929
765,350,485
2611,850,306
5577,2791,5303
6908,5291,2137
2539,6272,1295
1925,5944,534
1471,4949,348
716,3511,278
453,3039,378
324,2679,790
390,2094,5318
775,1284,2591
2572,630,1113
5595,410,2458
6852,331,2208
5327,5586,436
4756,6992,318
5495,5860,386
5713,5230,739
6317,4864,2242
5669,5146,5014
2728,5526,5982
1693,5383,5315
703,5758,5000
6877,5889,4985
4968,6057,1198
6124,6028,125
6134,5257,208
4265,413,432
2415,2220,478
1963,3479,642
1454,4546,1138
938,4579,5372
537,3672,5441
313,2769,4760
256,2875,4134
356,1931,3138
788,1309,2637
2565,870,2614
5330,654,2335
6181,364,1646
6182,262,1003
5720,505,670
4612,861,503
5538,1132,357
6880,4529,399
5906,4872,619
5234,6246,1018
4719,5957,1280
5487,4535,1774
3193,3234,2565
2948,2677,3055
1090,2077,3583
735,1380,3910
537,927,4093
4536,500,4240
4520,7055,4325
1924,6408,4357
2863,5254,4522
1000,4547,4732
352,4784,2859
263,5015,2647
341,5430,2429
761,5813,586
2467,6496,356
5242,6429,270
5390,5142,415
2029,2777,1337
2096,2331,2930
1563,1767,3508
325,1093,3951
252,554,4644
361,333,4524
795,267,3717
2620,358,3206
5730,777,933
6792,2732,419
6199,5637,4100
5216,5564,4661
5477,6274,4836
5654,4680,5597
5761,4642,5191
6131,4843,3756
4811,3435,4768
5115,2921,4002
6517,2763,4280
5360,1930,4540
5177,1160,4729
4661,654,4944
5129,374,5297
5326,794,6142
5488,5358,2925
5489,6441,2453
5835,5536,2046
6427,4619,1550
6093,5107,1079
5074,5283,604
3522,5704,353
2818,5887,301
2804,6307,326
2639,5953,5263
1766,4519,6380
1091,2005,5761
739,1177,4844
642,699,4327
404,4282,4787
407,4489,4880
753,4908,681
1381,4479,306
2046,3804,199
2661,2908,422
2191,4452,686
1293,4636,951
861,4810,1444
644,5125,2983
482,4337,3644
774,3644,4673
4925,3107,3943
4866,2929,4217
3385,4695,4509
2999,4335,4532
2642,1583,5170
