weather_main,traffic_volume
Clouds,5545
Clouds,4516
Clouds,4767
Clouds,5026
Clouds,4918
Clear,5181
Clear,5584
Clear,6015
Clouds,5791
Clouds,4770
Clouds,3539
Clear,2784
Clear,2361
Clear,1529
Clear,963
Clear,506
Clear,321
Clear,273
Clear,367
Clear,814
Clear,2718
Clear,5673
Clear,6511
Clear,5471
Clear,5097
Clear,4887
Clear,5337
Clear,5692
Clear,6137
Clouds,4623
Clouds,3591
Clouds,2898
Clear,2637
Clear,1777
Clear,1015
Clear,598
Clear,369
Clear,312
Clear,367
Clear,835
Clear,2726
Clear,5689
Clear,6990
Clear,5985
Clear,5309
Clear,4603
Clear,4884
Clear,5104
Clear,5178
Clear,5501
Clear,5713
Clouds,6292
Clouds,6057
Clouds,4907
Clouds,3503
Clouds,3037
Clouds,2822
Clouds,1992
Clouds,1166
Clouds,627
Clouds,388
Clear,368
Clouds,2489
Clouds,5537
Clouds,6628
Clouds,5534
Clouds,5403
Clouds,4770
Clouds,5217
Clouds,5870
Clouds,5967
Clouds,6108
Clouds,6128
Clouds,6069
Clouds,6169
Clouds,5384
Clouds,4063
Clouds,3364
Clouds,2971
Clouds,2450
Clouds,1832
Clouds,1231
Clouds,718
Clouds,545
Clouds,411
Clouds,688
Clear,1352
Clear,2072
Clear,3342
Clouds,4258
Clouds,4861
Clouds,5191
Clouds,5669
Clouds,5074
Clouds,5025
Clouds,5153
Clouds,5024
Clouds,4779
Clouds,4362
Clouds,3860
Clouds,3160
Clouds,2992
Clouds,3202
Clouds,1941
Clouds,1233
Clouds,323
Clouds,312
Clouds,627
Clouds,1508
Clouds,1539
Clouds,2232
Clouds,4568
Clouds,4624
Clouds,4529
Clouds,5139
Clouds,6640
Clouds,6589
Clouds,4429
Clouds,4329
Clouds,3833
Clouds,4015
Clouds,3382
Clouds,2815
Clouds,2110
Clouds,1555
Clouds,959
Clouds,455
Clouds,336
Clear,265
Clear,314
Clear,779
Clear,2571
Clouds,5563
Clouds,6676
Clouds,5966
Clouds,4832
Clouds,4395
Clouds,4411
Clear,4648
Clouds,4602
Clouds,5125
Clear,5502
Clear,5979
Clouds,5663
Clouds,4259
Clouds,3069
Clear,2378
Clear,2030
Clear,1400
Clear,917
Clear,515
Clear,302
Clear,251
Clouds,798
Clouds,2678
Clouds,5733
Clouds,6449
Clouds,5765
Clouds,5599
Clouds,4534
Clouds,4691
Clouds,5067
Clouds,5030
Clouds,5300
Rain,5777
Clouds,6349
Clouds,6127
Clouds,4460
Clouds,3418
Clouds,2775
Clouds,2306
Clouds,1846
Clouds,947
Clouds,494
Clouds,332
Clouds,261
Clouds,361
Clear,5875
Rain,6793
Drizzle,6793
Rain,6283
Drizzle,6283
Rain,5680
Drizzle,5680
Clear,4632
Clear,4887
Clouds,5030
Clouds,5067
Clouds,5227
Clouds,5610
Clear,6286
Clear,4775
Clear,3340
Clear,3013
Clear,2603
Clear,1910
Clear,1037
Clear,347
Clouds,350
Clouds,850
Clouds,2791
Clear,5809
Clear,6798
Clear,6304
Clouds,5291
Clear,4638
Clear,5557
Clear,5818
Clouds,6272
Clouds,5944
Clouds,4949
Clouds,3511
Clouds,3039
Clouds,2679
Clouds,2094
Clouds,1284
Clouds,630
Clouds,410
Clouds,331
Drizzle,372
Rain,739
Drizzle,2561
Clouds,5586
Clouds,6992
Clouds,5860
Clouds,5230
Clouds,4864
Clouds,5146
Clouds,5526
Clouds,5383
Clouds,5758
Clouds,5889
Clouds,6057
Clouds,6028
Clouds,5257
Clear,1897
Clear,1335
Clear,769
Clear,570
Clouds,413
Clear,399
Clear,740
Clear,1420
Clouds,2220
Clouds,3479
Clouds,4546
Clouds,4579
Clear,4438
Clear,4623
Clear,4440
Clear,4495
Clear,4483
Clear,4591
Clear,4477
Clear,4221
Clouds,3672
Clear,3015
Clouds,2769
Clouds,2875
Clouds,1931
Clouds,1309
Clouds,870
Clouds,654
Clouds,364
Clouds,262
Clouds,505
Clouds,861
Clouds,1132
Mist,1797
Drizzle,2685
Mist,2685
Haze,2685
Drizzle,3370
Mist,3370
Drizzle,3662
Mist,3662
Mist,4076
Rain,4076
Drizzle,4076
Rain,4128
Mist,4128
Drizzle,4128
Mist,4358
Rain,4358
Drizzle,4358
Mist,4342
Rain,4342
Mist,4234
Rain,4271
Mist,4271
Mist,4080
Mist,3453
Mist,2718
Mist,2439
Mist,1819
Mist,1002
Fog,1002
Mist,542
Fog,542
Fog,303
Fog,239
Mist,335
Fog,335
Mist,810
Fog,810
Mist,2606
Fog,2606
Mist,5714
Mist,6798
Mist,6114
Mist,5094
Mist,4473
Clouds,4529
Clear,4823
Clouds,4872
Clear,5238
Clear,5584
Clouds,6246
Clouds,5957
Clouds,4535
Clouds,3234
Clouds,2677
Clouds,2077
Clouds,1380
Clouds,927
Clouds,500
Clear,324
Clear,257
Clear,354
Clear,769
Clear,2769
Clear,5789
Clouds,7055
Clouds,6408
Clouds,5254
Clouds,4547
